calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,SDWPF-SCADA,42,LSTM-QR,48,12704,-1.9477424477449892,-8.908956778259663,5.014548739618258,0.604,False
0.88,SDWPF-SCADA,42,GRU-QR,12,12704,3.625980482894167,-1.6440402019234088,8.756207293166922,0.178,False
0.88,SDWPF-SCADA,42,GRU-QR,24,12704,3.625980482894167,-2.4655864076290084,9.895986062003018,0.237,False
0.88,SDWPF-SCADA,42,GRU-QR,48,12704,3.625980482894167,-3.4640149539303717,10.80365826540089,0.332,False
0.88,SDWPF-SCADA,42,CNN-QR,12,12704,108.69797214632972,100.38899799453222,117.84159178391512,0.0,True
0.88,SDWPF-SCADA,42,CNN-QR,24,12704,108.69797214632972,97.36276798470494,119.61118694805077,0.0,True
0.88,SDWPF-SCADA,42,CNN-QR,48,12704,108.69797214632972,94.82831355075092,122.51302484354984,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,12,12704,46.64365339519395,38.465488301146245,55.38436803697638,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,24,12704,46.64365339519395,36.23599377372103,58.32829685370328,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,48,12704,46.64365339519395,33.4173957814798,61.087645631503094,0.0,True
0.88,SDWPF-SCADA,42,SQR,12,12704,57.07752894154123,48.63907697056643,65.9161180088442,0.0,True
0.88,SDWPF-SCADA,42,SQR,24,12704,57.07752894154123,45.450911004867606,68.9757583862588,0.0,True
0.88,SDWPF-SCADA,42,SQR,48,12704,57.07752894154123,42.5845762159422,71.22420597785064,0.0,True
0.88,SDWPF-SCADA,42,LUBE-NN,12,12704,123.43461073916265,111.30348172884445,136.5128842186267,0.0,True
0.88,SDWPF-SCADA,42,LUBE-NN,24,12704,123.43461073916265,107.00455896563135,141.02675626683293,0.0,True
0.88,SDWPF-SCADA,42,LUBE-NN,48,12704,123.43461073916265,101.19378577500807,143.86272326779905,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,12,12704,124.5951264907491,116.22168683318107,133.1636383056941,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,24,12704,124.5951264907491,113.03763493930062,135.39924085125213,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,48,12704,124.5951264907491,109.85609783783968,137.65014506920758,0.0,True
0.88,SDWPF-SCADA,42,KDE,12,12704,116.75890921465395,109.37976744661404,124.74912567483989,0.0,True
0.88,SDWPF-SCADA,42,KDE,24,12704,116.75890921465395,106.44020837254128,127.33589154878251,0.0,True
0.88,SDWPF-SCADA,42,KDE,48,12704,116.75890921465395,103.94952009589005,129.34854712957699,0.0,True
0.88,WPF-SCADA,43,MLP-QR,12,4895,159.84725495787515,124.2454214733151,199.44463300788726,0.0,True
0.88,WPF-SCADA,43,MLP-QR,24,4895,159.84725495787515,121.18240880527829,202.51848281112214,0.0,True
0.88,WPF-SCADA,43,MLP-QR,48,4895,159.84725495787515,121.67068722484304,204.24523502758984,0.0,True
0.88,WPF-SCADA,43,LSTM-QR,12,4895,105.74860890966148,78.00278330568152,136.06497860777,0.0,True
0.88,WPF-SCADA,43,LSTM-QR,24,4895,105.74860890966148,76.95256610313159,138.3026660203008,0.0,True
0.88,WPF-SCADA,43,LSTM-QR,48,4895,105.74860890966148,76.88475155885908,135.924490024929,0.0,True
0.88,WPF-SCADA,43,GRU-QR,12,4895,103.0419236647827,77.52443538926838,131.3376757020726,0.0,True
0.88,WPF-SCADA,43,GRU-QR,24,4895,103.0419236647827,75.29227278665576,132.27191477836942,0.0,True
0.88,WPF-SCADA,43,GRU-QR,48,4895,103.0419236647827,77.30122128339539,132.50052492416424,0.0,True
0.88,WPF-SCADA,43,CNN-QR,12,4895,232.81853796050058,194.960436062993,277.3379982680417,0.0,True
0.88,WPF-SCADA,43,CNN-QR,24,4895,232.81853796050058,191.498848806504,280.9089548826753,0.0,True
0.88,WPF-SCADA,43,CNN-QR,48,4895,232.81853796050058,192.95400902160705,279.1496785041723,0.0,True
0.88,WPF-SCADA,43,Transformer-QR,12,4895,136.45273576527987,106.37555551795843,170.13569342031656,0.0,True
0.88,WPF-SCADA,43,Transformer-QR,24,4895,136.45273576527987,103.35482009809765,171.10463859410035,0.0,True
0.88,WPF-SCADA,43,Transformer-QR,48,4895,136.45273576527987,102.861205185295,172.63421745915934,0.0,True
0.88,WPF-SCADA,43,SQR,12,4895,155.79027097739043,119.93141933515197,194.38906893253812,0.0,True
0.88,WPF-SCADA,43,SQR,24,4895,155.79027097739043,119.45962520377263,195.69379509400778,0.0,True
0.88,WPF-SCADA,43,SQR,48,4895,155.79027097739043,117.77451608036341,198.33272189334173,0.0,True
0.88,WPF-SCADA,43,LUBE-NN,12,4895,282.44864998837903,255.97483723095903,310.5282851672537,0.0,True
0.88,WPF-SCADA,43,LUBE-NN,24,4895,282.44864998837903,252.9814986252127,312.4934495655095,0.0,True
0.88,WPF-SCADA,43,LUBE-NN,48,4895,282.44864998837903,250.1558722046958,312.761169565608,0.0,True
0.88,WPF-SCADA,43,RQR-MLP,12,4895,268.10844292645555,244.66290248446128,290.62470747108966,0.0,True
0.88,WPF-SCADA,43,RQR-MLP,24,4895,268.10844292645555,237.6346992283822,296.24993964767066,0.0,True
0.88,WPF-SCADA,43,RQR-MLP,48,4895,268.10844292645555,232.2018461855147,302.09807982182707,0.0,True
0.88,WPF-SCADA,43,KDE,12,4895,222.86075388330727,179.17685363987735,269.37226860677623,0.0,True
0.88,WPF-SCADA,43,KDE,24,4895,222.86075388330727,177.25846390269263,275.13180868255955,0.0,True
0.88,WPF-SCADA,43,KDE,48,4895,222.86075388330727,178.27678031305734,271.18409069696406,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,12,5242,13.729805143313389,10.040233441783652,17.83780027230883,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,24,5242,13.729805143313389,9.32782792157228,18.169855783850757,0.0,True
0.88,Longyuan-SCADA,43,MLP-QR,48,5242,13.729805143313389,9.086117513067892,18.49137937984408,0.0,True
0.88,Longyuan-SCADA,43,LSTM-QR,12,5242,9.676541943351808,6.099547865953849,13.208181323462975,0.0,True
0.88,Longyuan-SCADA,43,LSTM-QR,24,5242,9.676541943351808,5.626088380904564,13.609760404233482,0.0,True
0.88,Longyuan-SCADA,43,LSTM-QR,48,5242,9.676541943351808,5.5318451200810514,14.136761479794364,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,12,5242,10.596090302945822,6.968484130382356,14.409063187349574,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,24,5242,10.596090302945822,6.728038837772342,14.91561774567127,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,48,5242,10.596090302945822,6.098098974935611,15.487339181601657,0.0,True
0.88,Longyuan-SCADA,43,CNN-QR,12,5242,19.66115713792646,15.401193406580969,24.029144033572457,0.0,True
0.88,Longyuan-SCADA,43,CNN-QR,24,5242,19.66115713792646,14.906058434746914,24.671999372357128,0.0,True
