calibration_target,setting,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,rank_mean,rank_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,PICP_below_080,PICP_below_target,cached_audit_time_s_mean,stage2_time_s_mean
0.84,common_validation_conformal_084,Proposed model,9,0.8228461286960358,0.03897950716449931,0.1962704343928231,0.030277848932572154,294.9344075520833,168.78523778950995,1.4444444444444444,1.0137937550497031,101.87592781914606,63.513441854695046,65.89573076036241,40.350957484346004,0.8548242118623521,0.07951524007182223,2,7,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,CNN-QR,9,0.8256572092703163,0.05050501489372681,0.22709151605765024,0.010986773057298262,400.12841457790796,244.05781436320828,7.444444444444445,0.7264831572567788,106.48899205525716,69.57913368095785,67.95330376095242,44.041492473001085,0.8484657671716478,0.0771442371430006,3,5,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,GRU-QR,9,0.7911730258126486,0.05155676762277802,0.17476604051060146,0.026047928548733133,330.88003116183813,201.17815731040247,2.888888888888889,1.0540925533894598,102.10075230068631,65.21105647596956,63.95851421356201,40.92980094121153,0.8544341458214654,0.08041858873543917,4,9,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,KDE,9,0.818843419686995,0.042258438183112756,0.22328074938721126,0.01813235267788487,412.3608567979601,255.7880726307834,8.0,0.7071067811865476,105.87756771511502,68.99199764453063,66.32817819383409,42.810463824343515,0.8503298030959235,0.07587852233540088,3,6,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,LSTM-QR,9,0.7925206641622712,0.049887654785647294,0.17512781255775028,0.023319596376696502,335.1446516248915,207.0820357426026,2.5555555555555554,0.8819171036881968,102.9335748884413,66.12805841064666,64.30415513780382,41.13272889341565,0.8534812529881796,0.07961184109428548,3,8,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,LUBE-NN,9,0.8291270447898046,0.05502126921481677,0.25244807038042283,0.028206995810883886,439.7862133449978,291.5581284993276,8.666666666666666,1.4142135623730951,120.89483239915636,86.37168419876231,89.4589377509223,71.30076324393838,0.8221632109747993,0.08068248104248557,3,6,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,MLP-QR,9,0.8070015357916231,0.03132642327016931,0.1943046897649765,0.02584864302003754,361.59810045030383,224.59146224188464,5.0,1.118033988749895,106.06292639838324,67.00146312557487,67.15269639756944,41.82151144749806,0.8455265694194369,0.08246501544563004,3,9,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,RQR-MLP,9,0.9539773693155073,0.028723329373297697,0.37090392576323616,0.042706169908047355,446.6404546101888,285.17023719843843,8.11111111111111,2.147349787787521,103.66533321804471,65.38978731892716,65.23170449998644,40.93492829489013,0.8461624052789476,0.08941188570362972,0,0,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,SQR,9,0.7976071018991355,0.06164951833108159,0.18556134899457297,0.010438403628324733,376.0969399346246,229.27310703392698,6.777777777777778,2.048034287907418,107.00273429022894,66.564264099626,67.94309828016493,41.30165895831688,0.8340472247865465,0.09754909602002976,5,6,1583.0265904797448,1583.0148362318675
0.84,common_validation_conformal_084,Transformer-QR,9,0.7778998308221493,0.06821113763167265,0.184708500901858,0.03458834962215928,373.73773786756726,232.37528894721262,4.111111111111111,2.5221243250702594,106.8261161380344,68.7112566976591,67.63391187455919,42.627161132694425,0.8444016112221612,0.08133934588283556,4,8,1583.0265904797448,1583.0148362318675
