calibration_target,setting,public_dataset,seed,method,rank,PICP,PINAW,Winkler,RMSE,MAE,R2,params,best_lambda,posthoc_calibration,baseline_common_calibration,calibration_q_scaled,calib_val_picp_before,calib_val_picp_after,time_s,stage1_cache_time_s,stage2_time_s,dpr_cache_status
0.86,common_validation_conformal_086,WPF-SCADA,42,Transformer-QR,4,0.8216547497446374,0.1957552582025528,608.0650024414062,181.52723693847656,111.82592010498047,0.8759765625,17925,,,conformal,0.028732791543006897,0.8232890704800817,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,SQR,6,0.8161389172625128,0.18669737875461578,649.1796875,183.7512969970703,113.02693939208984,0.8729189038276672,1921,,,conformal,0.059787601232528687,0.7742594484167518,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,LUBE-NN,9,0.8204290091930542,0.2974622845649719,730.5726318359375,226.25839233398438,194.0247802734375,0.8073230981826782,2021,,,conformal,0.41711074113845825,0.0040858018386108275,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,RQR-MLP,10,0.9752808988764045,0.401552677154541,737.6886596679688,173.747314453125,108.98225402832031,0.886379599571228,2021,,,conformal,0.0,0.992849846782431,0.992849846782431,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.86,common_validation_conformal_086,WPF-SCADA,42,KDE,8,0.827170582226762,0.21518245339393616,682.1519775390625,182.75369262695312,113.71244812011719,0.8742949962615967,0,,,conformal,0.04708665609359741,0.8008171603677222,0.8610827374872319,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,Proposed model,1,0.8717058222676201,0.1940990686416626,465.3922424316406,173.8644561767578,107.008056640625,0.8862262964248657,9971,0.15,conformal,,0.039174884557724,0.8110316649642493,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,MLP-QR,5,0.861491317671093,0.22136588394641876,621.3499755859375,180.2486114501953,111.0486831665039,0.8777175545692444,2021,,,conformal,0.0692862868309021,0.8028600612870276,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,LSTM-QR,3,0.8612870275791624,0.21680235862731934,575.4854736328125,177.0843963623047,109.99139404296875,0.881973147392273,9285,,,conformal,0.0401206910610199,0.8345250255362615,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,GRU-QR,2,0.8653728294177733,0.21659743785858154,559.5382690429688,174.16317749023438,108.8166275024414,0.8858350515365601,7173,,,conformal,0.04834091663360596,0.8232890704800817,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,CNN-QR,7,0.8574055158324821,0.24998925626277924,670.5839233398438,189.501953125,117.20431518554688,0.8648402094841003,3525,,,conformal,0.08136263489723206,0.7926455566905005,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,Transformer-QR,4,0.8400408580183861,0.2085750699043274,611.61376953125,181.52723693847656,111.82592010498047,0.8759765625,17925,,,conformal,0.046760767698287964,0.8232890704800817,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,SQR,6,0.844126659856997,0.21352528035640717,656.361572265625,183.7512969970703,113.02693939208984,0.8729189038276672,1921,,,conformal,0.09751459956169128,0.7742594484167518,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,LUBE-NN,9,0.8416751787538305,0.31095343828201294,734.1176147460938,226.25839233398438,194.0247802734375,0.8073230981826782,2021,,,conformal,0.43608278036117554,0.0040858018386108275,0.881511746680286,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.88,common_validation_conformal_088,WPF-SCADA,42,RQR-MLP,10,0.9752808988764045,0.401552677154541,737.6886596679688,173.747314453125,108.98225402832031,0.886379599571228,2021,,,conformal,0.0,0.992849846782431,0.992849846782431,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
