calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,SDWPF-SCADA,42,LUBE-NN,24,12704,123.4346112074833,106.79464878084706,141.3497838826561,0.0,True
0.88,SDWPF-SCADA,42,LUBE-NN,48,12704,123.4346112074833,102.3227550456399,144.61608878429539,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,12,12704,62.858587931551796,55.737628750711885,70.37909503804848,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,24,12704,62.858587931551796,53.997851715409006,72.78138203747645,0.0,True
0.88,SDWPF-SCADA,42,MLP-QR,48,12704,62.858587931551796,51.309155243519115,75.07160667028187,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,12,12704,124.59512597286712,115.65317418584252,133.13216599110294,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,24,12704,124.59512597286712,114.08356124500291,135.48336275062434,0.0,True
0.88,SDWPF-SCADA,42,RQR-MLP,48,12704,124.59512597286712,109.1726744353526,137.61384612302624,0.0,True
0.88,SDWPF-SCADA,42,SQR,12,12704,57.077528633560526,48.4702678958277,65.88000509067122,0.0,True
0.88,SDWPF-SCADA,42,SQR,24,12704,57.077528633560526,45.86677078832164,68.47945307105479,0.0,True
0.88,SDWPF-SCADA,42,SQR,48,12704,57.077528633560526,42.44068700564294,70.48579899658864,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,12,12704,46.64365410285729,38.50801067793932,54.83569298399022,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,24,12704,46.64365410285729,36.2231464701683,57.17685292195583,0.0,True
0.88,SDWPF-SCADA,42,Transformer-QR,48,12704,46.64365410285729,34.146974806557886,61.29288623984025,0.0,True
0.88,SDWPF-SCADA,43,CNN-QR,12,12704,153.00145627169547,140.91826856143035,166.10102016103707,0.0,True
0.88,SDWPF-SCADA,43,CNN-QR,24,12704,153.00145627169547,137.18197331701387,169.27271062367433,0.0,True
0.88,SDWPF-SCADA,43,CNN-QR,48,12704,153.00145627169547,130.96872174754904,173.21849859552438,0.0,True
0.88,SDWPF-SCADA,43,GRU-QR,12,12704,17.701267046025663,8.176999791847448,27.454593645828734,0.0,True
0.88,SDWPF-SCADA,43,GRU-QR,24,12704,17.701267046025663,6.406996868047366,28.540019829836208,0.001,True
0.88,SDWPF-SCADA,43,GRU-QR,48,12704,17.701267046025663,3.527141930073986,31.983321090982166,0.019,True
0.88,SDWPF-SCADA,43,KDE,12,12704,155.22295617287105,143.02758463416959,167.68969712134418,0.0,True
0.88,SDWPF-SCADA,43,KDE,24,12704,155.22295617287105,139.85419000539449,171.24827762501207,0.0,True
0.88,SDWPF-SCADA,43,KDE,48,12704,155.22295617287105,135.5058276596396,173.77079652873587,0.0,True
0.88,SDWPF-SCADA,43,LSTM-QR,12,12704,21.91126185052313,12.673572239127827,32.04484792600262,0.0,True
