public_dataset,seed,method,calibration_target,calibration_q_scaled,validation_picp_before,validation_picp_after,test_picp,test_pinaw,test_winkler
Longyuan-SCADA,44,LSTM-QR,0.88,0.20568186044692993,0.773117254528122,0.880838894184938,0.8202975963372758,0.27326756715774536,88.78296661376953
Longyuan-SCADA,44,GRU-QR,0.88,0.17850211262702942,0.7893231649189705,0.880838894184938,0.8187714612743228,0.2701653242111206,90.23570251464844
Longyuan-SCADA,44,CNN-QR,0.88,0.22479581832885742,0.7740705433746425,0.880838894184938,0.820488363220145,0.30454540252685547,99.82449340820312
Longyuan-SCADA,44,Transformer-QR,0.88,0.17834368348121643,0.7616777883698761,0.880838894184938,0.8109500190766883,0.2660953104496002,93.13233184814453
Longyuan-SCADA,44,SQR,0.88,0.2537456154823303,0.7254528122020972,0.880838894184938,0.789202594429607,0.2543151080608368,96.73544311523438
Longyuan-SCADA,44,LUBE-NN,0.88,0.5700517296791077,0.012392755004766444,0.880838894184938,0.8389927508584509,0.32910698652267456,101.69902038574219
Longyuan-SCADA,44,RQR-MLP,0.88,0.0,0.9313632030505243,0.9313632030505243,0.908813429988554,0.3866167366504669,94.87071990966797
Longyuan-SCADA,44,KDE,0.88,0.18795990943908691,0.8036224976167778,0.880838894184938,0.8340328119038535,0.3177655339241028,98.46515655517578
SDWPF-SCADA,44,Proposed model,0.88,0.05921369791030884,0.7965367965367965,0.880362062180244,0.8836586901763224,0.20871034264564514,374.5167541503906
SDWPF-SCADA,44,MLP-QR,0.88,0.09824144840240479,0.8016528925619835,0.880362062180244,0.8854691435768262,0.19763121008872986,389.61688232421875
SDWPF-SCADA,44,LSTM-QR,0.88,0.12329107522964478,0.7666273120818575,0.880362062180244,0.8685453400503779,0.18201318383216858,367.98040771484375
SDWPF-SCADA,44,GRU-QR,0.88,0.11214810609817505,0.7863046044864227,0.880362062180244,0.8515428211586902,0.1633361130952835,352.81170654296875
SDWPF-SCADA,44,CNN-QR,0.88,0.1251530647277832,0.7977174340810704,0.880362062180244,0.9162468513853904,0.2640429735183716,477.7012023925781
SDWPF-SCADA,44,Transformer-QR,0.88,0.12920653820037842,0.7367178276269185,0.880362062180244,0.8759445843828715,0.16783805191516876,352.8391418457031
SDWPF-SCADA,44,SQR,0.88,0.17211765050888062,0.7331759149940968,0.880362062180244,0.9175850125944585,0.2291467934846878,425.25341796875
SDWPF-SCADA,44,LUBE-NN,0.88,0.5206415057182312,0.0019677292404565133,0.880362062180244,0.9141215365239295,0.2809344530105591,518.5103149414062
SDWPF-SCADA,44,RQR-MLP,0.88,0.0,0.9759937032664305,0.9759937032664305,0.9814231738035264,0.32768189907073975,514.5703125
SDWPF-SCADA,44,KDE,0.88,0.11924618482589722,0.8044077134986226,0.880362062180244,0.9176637279596978,0.2660852074623108,480.4550476074219
